Date,Mean_Gauge,filename
02/07/02,2.41,Inundation Boundary (02JUL2002 00 00 00 Value_0).tif
03/07/02,2.38,Inundation Boundary (03JUL2002 00 00 00 Value_0).tif
04/07/02,2.36,Inundation Boundary (04JUL2002 00 00 00 Value_0).tif
05/07/02,2.39,Inundation Boundary (05JUL2002 00 00 00 Value_0).tif
06/07/02,2.4,Inundation Boundary (06JUL2002 00 00 00 Value_0).tif
07/07/02,2.42,Inundation Boundary (07JUL2002 00 00 00 Value_0).tif
08/07/02,2.42,Inundation Boundary (08JUL2002 00 00 00 Value_0).tif
09/07/02,2.42,Inundation Boundary (09JUL2002 00 00 00 Value_0).tif
10/07/02,2.42,Inundation Boundary (10JUL2002 00 00 00 Value_0).tif
11/07/02,2.44,Inundation Boundary (11JUL2002 00 00 00 Value_0).tif
12/07/02,2.45,Inundation Boundary (12JUL2002 00 00 00 Value_0).tif
13/07/02,2.46,Inundation Boundary (13JUL2002 00 00 00 Value_0).tif
14/07/02,2.47,Inundation Boundary (14JUL2002 00 00 00 Value_0).tif
15/07/02,2.48,Inundation Boundary (15JUL2002 00 00 00 Value_0).tif
16/07/02,2.53,Inundation Boundary (16JUL2002 00 00 00 Value_0).tif
17/07/02,2.55,Inundation Boundary (17JUL2002 00 00 00 Value_0).tif
18/07/02,2.63,Inundation Boundary (18JUL2002 00 00 00 Value_0).tif
19/07/02,2.71,Inundation Boundary (19JUL2002 00 00 00 Value_0).tif
20/07/02,2.65,Inundation Boundary (20JUL2002 00 00 00 Value_0).tif
21/07/02,2.77,Inundation Boundary (21JUL2002 00 00 00 Value_0).tif
22/07/02,2.89,Inundation Boundary (22JUL2002 00 00 00 Value_0).tif
23/07/02,2.79,Inundation Boundary (23JUL2002 00 00 00 Value_0).tif
24/07/02,2.66,Inundation Boundary (24JUL2002 00 00 00 Value_0).tif
25/07/02,2.59,Inundation Boundary (25JUL2002 00 00 00 Value_0).tif
26/07/02,2.53,Inundation Boundary (26JUL2002 00 00 00 Value_0).tif
27/07/02,2.49,Inundation Boundary (27JUL2002 00 00 00 Value_0).tif
28/07/02,2.48,Inundation Boundary (28JUL2002 00 00 00 Value_0).tif
29/07/02,2.49,Inundation Boundary (29JUL2002 00 00 00 Value_0).tif
30/07/02,2.49,Inundation Boundary (30JUL2002 00 00 00 Value_0).tif
31/07/02,2.5,Inundation Boundary (31JUL2002 00 00 00 Value_0).tif
01/08/02,2.59,Inundation Boundary (01AUG2002 00 00 00 Value_0).tif
02/08/02,2.69,Inundation Boundary (02AUG2002 00 00 00 Value_0).tif
03/08/02,2.94,Inundation Boundary (03AUG2002 00 00 00 Value_0).tif
04/08/02,3.12,Inundation Boundary (04AUG2002 00 00 00 Value_0).tif
05/08/02,3.85,Inundation Boundary (05AUG2002 00 00 00 Value_0).tif
06/08/02,3.475,Inundation Boundary (06AUG2002 00 00 00 Value_0).tif
07/08/02,3.465,Inundation Boundary (07AUG2002 00 00 00 Value_0).tif
08/08/02,3.515,Inundation Boundary (08AUG2002 00 00 00 Value_0).tif
09/08/02,3.545,Inundation Boundary (09AUG2002 00 00 00 Value_0).tif
10/08/02,3.14,Inundation Boundary (10AUG2002 00 00 00 Value_0).tif
11/08/02,2.85,Inundation Boundary (11AUG2002 00 00 00 Value_0).tif
12/08/02,2.77,Inundation Boundary (12AUG2002 00 00 00 Value_0).tif
13/08/02,2.7,Inundation Boundary (13AUG2002 00 00 00 Value_0).tif
14/08/02,2.77,Inundation Boundary (14AUG2002 00 00 00 Value_0).tif
15/08/02,2.73,Inundation Boundary (15AUG2002 00 00 00 Value_0).tif
16/08/02,3.97,Inundation Boundary (16AUG2002 00 00 00 Value_0).tif
17/08/02,4.42,Inundation Boundary (17AUG2002 00 00 00 Value_0).tif
18/08/02,4.95,Inundation Boundary (18AUG2002 00 00 00 Value_0).tif
19/08/02,12.2,Inundation Boundary (19AUG2002 00 00 00 Value_0).tif
20/08/02,11.2,Inundation Boundary (20AUG2002 00 00 00 Value_0).tif
21/08/02,7.935,Inundation Boundary (21AUG2002 00 00 00 Value_0).tif
22/08/02,6.16,Inundation Boundary (22AUG2002 00 00 00 Value_0).tif
23/08/02,5.53,Inundation Boundary (23AUG2002 00 00 00 Value_0).tif
24/08/02,5.23,Inundation Boundary (24AUG2002 00 00 00 Value_0).tif
25/08/02,5.91,Inundation Boundary (25AUG2002 00 00 00 Value_0).tif
26/08/02,4.92,Inundation Boundary (26AUG2002 00 00 00 Value_0).tif
27/08/02,4.29,Inundation Boundary (27AUG2002 00 00 00 Value_0).tif
28/08/02,3.98,Inundation Boundary (28AUG2002 00 00 00 Value_0).tif
29/08/02,4.17,Inundation Boundary (29AUG2002 00 00 00 Value_0).tif
30/08/02,7.68,Inundation Boundary (30AUG2002 00 00 00 Value_0).tif
31/08/02,8.035,Inundation Boundary (31AUG2002 00 00 00 Value_0).tif
01/09/02,5.78,Inundation Boundary (01SEP2002 00 00 00 Value_0).tif
02/09/02,5.97,Inundation Boundary (02SEP2002 00 00 00 Value_0).tif
03/09/02,5.295,Inundation Boundary (03SEP2002 00 00 00 Value_0).tif
04/09/02,5.775,Inundation Boundary (04SEP2002 00 00 00 Value_0).tif
05/09/02,5.37,Inundation Boundary (05SEP2002 00 00 00 Value_0).tif
06/09/02,7.55,Inundation Boundary (06SEP2002 00 00 00 Value_0).tif
07/09/02,7.84,Inundation Boundary (07SEP2002 00 00 00 Value_0).tif
08/09/02,6.7,Inundation Boundary (08SEP2002 00 00 00 Value_0).tif
09/09/02,6.035,Inundation Boundary (09SEP2002 00 00 00 Value_0).tif
10/09/02,6.02,Inundation Boundary (10SEP2002 00 00 00 Value_0).tif
11/09/02,5.75,Inundation Boundary (11SEP2002 00 00 00 Value_0).tif
12/09/02,5.27,Inundation Boundary (12SEP2002 00 00 00 Value_0).tif
13/09/02,5.695,Inundation Boundary (13SEP2002 00 00 00 Value_0).tif
14/09/02,4.96,Inundation Boundary (14SEP2002 00 00 00 Value_0).tif
15/09/02,4.66,Inundation Boundary (15SEP2002 00 00 00 Value_0).tif
16/09/02,4.39,Inundation Boundary (16SEP2002 00 00 00 Value_0).tif
17/09/02,4.16,Inundation Boundary (17SEP2002 00 00 00 Value_0).tif
18/09/02,3.95,Inundation Boundary (18SEP2002 00 00 00 Value_0).tif
19/09/02,3.78,Inundation Boundary (19SEP2002 00 00 00 Value_0).tif
20/09/02,3.795,Inundation Boundary (20SEP2002 00 00 00 Value_0).tif
21/09/02,3.72,Inundation Boundary (21SEP2002 00 00 00 Value_0).tif
22/09/02,3.52,Inundation Boundary (22SEP2002 00 00 00 Value_0).tif
23/09/02,3.405,Inundation Boundary (23SEP2002 00 00 00 Value_0).tif
24/09/02,3.36,Inundation Boundary (24SEP2002 00 00 00 Value_0).tif
25/09/02,3.33,Inundation Boundary (25SEP2002 00 00 00 Value_0).tif
26/09/02,3.31,Inundation Boundary (26SEP2002 00 00 00 Value_0).tif
27/09/02,3.27,Inundation Boundary (27SEP2002 00 00 00 Value_0).tif
28/09/02,3.23,Inundation Boundary (28SEP2002 00 00 00 Value_0).tif
29/09/02,3.21,Inundation Boundary (29SEP2002 00 00 00 Value_0).tif
30/09/02,3.18,Inundation Boundary (30SEP2002 00 00 00 Value_0).tif
01/06/03,2.47,Inundation Boundary (01JUN2003 00 00 00 Value_0).tif
02/06/03,2.5,Inundation Boundary (02JUN2003 00 00 00 Value_0).tif
03/06/03,2.52,Inundation Boundary (03JUN2003 00 00 00 Value_0).tif
04/06/03,2.49,Inundation Boundary (04JUN2003 00 00 00 Value_0).tif
05/06/03,2.47,Inundation Boundary (05JUN2003 00 00 00 Value_0).tif
06/06/03,2.45,Inundation Boundary (06JUN2003 00 00 00 Value_0).tif
07/06/03,2.47,Inundation Boundary (07JUN2003 00 00 00 Value_0).tif
08/06/03,2.48,Inundation Boundary (08JUN2003 00 00 00 Value_0).tif
09/06/03,2.45,Inundation Boundary (09JUN2003 00 00 00 Value_0).tif
10/06/03,2.47,Inundation Boundary (10JUN2003 00 00 00 Value_0).tif
11/06/03,2.57,Inundation Boundary (11JUN2003 00 00 00 Value_0).tif
12/06/03,2.58,Inundation Boundary (12JUN2003 00 00 00 Value_0).tif
13/06/03,2.59,Inundation Boundary (13JUN2003 00 00 00 Value_0).tif
14/06/03,2.6,Inundation Boundary (14JUN2003 00 00 00 Value_0).tif
15/06/03,2.68,Inundation Boundary (15JUN2003 00 00 00 Value_0).tif
16/06/03,2.58,Inundation Boundary (16JUN2003 00 00 00 Value_0).tif
17/06/03,2.52,Inundation Boundary (17JUN2003 00 00 00 Value_0).tif
18/06/03,2.51,Inundation Boundary (18JUN2003 00 00 00 Value_0).tif
19/06/03,2.52,Inundation Boundary (19JUN2003 00 00 00 Value_0).tif
20/06/03,2.52,Inundation Boundary (20JUN2003 00 00 00 Value_0).tif
21/06/03,2.52,Inundation Boundary (21JUN2003 00 00 00 Value_0).tif
22/06/03,2.59,Inundation Boundary (22JUN2003 00 00 00 Value_0).tif
23/06/03,2.55,Inundation Boundary (23JUN2003 00 00 00 Value_0).tif
24/06/03,2.52,Inundation Boundary (24JUN2003 00 00 00 Value_0).tif
25/06/03,2.56,Inundation Boundary (25JUN2003 00 00 00 Value_0).tif
26/06/03,2.765,Inundation Boundary (26JUN2003 00 00 00 Value_0).tif
27/06/03,3.215,Inundation Boundary (27JUN2003 00 00 00 Value_0).tif
28/06/03,3.245,Inundation Boundary (28JUN2003 00 00 00 Value_0).tif
29/06/03,3.07,Inundation Boundary (29JUN2003 00 00 00 Value_0).tif
30/06/03,2.97,Inundation Boundary (30JUN2003 00 00 00 Value_0).tif
01/07/03,3.585,Inundation Boundary (01JUL2003 00 00 00 Value_0).tif
02/07/03,4.785,Inundation Boundary (02JUL2003 00 00 00 Value_0).tif
03/07/03,4.47,Inundation Boundary (03JUL2003 00 00 00 Value_0).tif
04/07/03,3.925,Inundation Boundary (04JUL2003 00 00 00 Value_0).tif
05/07/03,3.72,Inundation Boundary (05JUL2003 00 00 00 Value_0).tif
06/07/03,3.5,Inundation Boundary (06JUL2003 00 00 00 Value_0).tif
07/07/03,4.6,Inundation Boundary (07JUL2003 00 00 00 Value_0).tif
08/07/03,3.935,Inundation Boundary (08JUL2003 00 00 00 Value_0).tif
09/07/03,3.46,Inundation Boundary (09JUL2003 00 00 00 Value_0).tif
10/07/03,3.505,Inundation Boundary (10JUL2003 00 00 00 Value_0).tif
11/07/03,3.265,Inundation Boundary (11JUL2003 00 00 00 Value_0).tif
12/07/03,3.305,Inundation Boundary (12JUL2003 00 00 00 Value_0).tif
13/07/03,3.21,Inundation Boundary (13JUL2003 00 00 00 Value_0).tif
14/07/03,3.1,Inundation Boundary (14JUL2003 00 00 00 Value_0).tif
15/07/03,3.145,Inundation Boundary (15JUL2003 00 00 00 Value_0).tif
16/07/03,4.03,Inundation Boundary (16JUL2003 00 00 00 Value_0).tif
17/07/03,3.87,Inundation Boundary (17JUL2003 00 00 00 Value_0).tif
18/07/03,3.54,Inundation Boundary (18JUL2003 00 00 00 Value_0).tif
19/07/03,3.45,Inundation Boundary (19JUL2003 00 00 00 Value_0).tif
20/07/03,3.44,Inundation Boundary (20JUL2003 00 00 00 Value_0).tif
21/07/03,4.11,Inundation Boundary (21JUL2003 00 00 00 Value_0).tif
22/07/03,3.835,Inundation Boundary (22JUL2003 00 00 00 Value_0).tif
23/07/03,3.94,Inundation Boundary (23JUL2003 00 00 00 Value_0).tif
24/07/03,4.225,Inundation Boundary (24JUL2003 00 00 00 Value_0).tif
25/07/03,6.145,Inundation Boundary (25JUL2003 00 00 00 Value_0).tif
26/07/03,6.66,Inundation Boundary (26JUL2003 00 00 00 Value_0).tif
27/07/03,7.92,Inundation Boundary (27JUL2003 00 00 00 Value_0).tif
28/07/03,10.7,Inundation Boundary (28JUL2003 00 00 00 Value_0).tif
29/07/03,6.275,Inundation Boundary (29JUL2003 00 00 00 Value_0).tif
30/07/03,4.755,Inundation Boundary (30JUL2003 00 00 00 Value_0).tif
31/07/03,4.215,Inundation Boundary (31JUL2003 00 00 00 Value_0).tif
01/08/03,3.915,Inundation Boundary (01AUG2003 00 00 00 Value_0).tif
02/08/03,3.745,Inundation Boundary (02AUG2003 00 00 00 Value_0).tif
03/08/03,3.62,Inundation Boundary (03AUG2003 00 00 00 Value_0).tif
04/08/03,3.78,Inundation Boundary (04AUG2003 00 00 00 Value_0).tif
05/08/03,3.89,Inundation Boundary (05AUG2003 00 00 00 Value_0).tif
06/08/03,3.705,Inundation Boundary (06AUG2003 00 00 00 Value_0).tif
07/08/03,3.735,Inundation Boundary (07AUG2003 00 00 00 Value_0).tif
08/08/03,3.855,Inundation Boundary (08AUG2003 00 00 00 Value_0).tif
09/08/03,3.86,Inundation Boundary (09AUG2003 00 00 00 Value_0).tif
10/08/03,3.95,Inundation Boundary (10AUG2003 00 00 00 Value_0).tif
11/08/03,4.21,Inundation Boundary (11AUG2003 00 00 00 Value_0).tif
12/08/03,4.53,Inundation Boundary (12AUG2003 00 00 00 Value_0).tif
13/08/03,4.72,Inundation Boundary (13AUG2003 00 00 00 Value_0).tif
14/08/03,4.645,Inundation Boundary (14AUG2003 00 00 00 Value_0).tif
15/08/03,5.23,Inundation Boundary (15AUG2003 00 00 00 Value_0).tif
16/08/03,5.95,Inundation Boundary (16AUG2003 00 00 00 Value_0).tif
17/08/03,6.48,Inundation Boundary (17AUG2003 00 00 00 Value_0).tif
18/08/03,6.365,Inundation Boundary (18AUG2003 00 00 00 Value_0).tif
19/08/03,6.105,Inundation Boundary (19AUG2003 00 00 00 Value_0).tif
20/08/03,5.175,Inundation Boundary (20AUG2003 00 00 00 Value_0).tif
21/08/03,4.505,Inundation Boundary (21AUG2003 00 00 00 Value_0).tif
22/08/03,4.19,Inundation Boundary (22AUG2003 00 00 00 Value_0).tif
23/08/03,4.12,Inundation Boundary (23AUG2003 00 00 00 Value_0).tif
24/08/03,5.25,Inundation Boundary (24AUG2003 00 00 00 Value_0).tif
25/08/03,5.38,Inundation Boundary (25AUG2003 00 00 00 Value_0).tif
26/08/03,4.84,Inundation Boundary (26AUG2003 00 00 00 Value_0).tif
27/08/03,4.36,Inundation Boundary (27AUG2003 00 00 00 Value_0).tif
28/08/03,4.025,Inundation Boundary (28AUG2003 00 00 00 Value_0).tif
29/08/03,3.865,Inundation Boundary (29AUG2003 00 00 00 Value_0).tif
30/08/03,3.805,Inundation Boundary (30AUG2003 00 00 00 Value_0).tif
31/08/03,5.46,Inundation Boundary (31AUG2003 00 00 00 Value_0).tif
01/09/03,7.39,Inundation Boundary (01SEP2003 00 00 00 Value_0).tif
02/09/03,7.33,Inundation Boundary (02SEP2003 00 00 00 Value_0).tif
03/09/03,7.03,Inundation Boundary (03SEP2003 00 00 00 Value_0).tif
04/09/03,7.475,Inundation Boundary (04SEP2003 00 00 00 Value_0).tif
05/09/03,8.455,Inundation Boundary (05SEP2003 00 00 00 Value_0).tif
06/09/03,8.64,Inundation Boundary (06SEP2003 00 00 00 Value_0).tif
07/09/03,7.15,Inundation Boundary (07SEP2003 00 00 00 Value_0).tif
08/09/03,6.57,Inundation Boundary (08SEP2003 00 00 00 Value_0).tif
09/09/03,6.955,Inundation Boundary (09SEP2003 00 00 00 Value_0).tif
10/09/03,9.965,Inundation Boundary (10SEP2003 00 00 00 Value_0).tif
11/09/03,9.05,Inundation Boundary (11SEP2003 00 00 00 Value_0).tif
12/09/03,8.08,Inundation Boundary (12SEP2003 00 00 00 Value_0).tif
13/09/03,6.865,Inundation Boundary (13SEP2003 00 00 00 Value_0).tif
